Method,Image,PSNR_dB,SSIM
Hazy Input,0586.jpg,17.215671,0.847935
Hazy Input,1352.jpg,18.040873,0.868745
Hazy Input,1381.jpg,10.468103,0.574031
Hazy Input,3146.jpg,11.983366,0.656183
Hazy Input,4184.jpg,11.602551,0.657234
Hazy Input,4561.jpg,14.228400,0.758610
Hazy Input,5576.jpg,12.543975,0.634467
Hazy Input,5920.jpg,16.226672,0.825860
Hazy Input,7471.jpg,20.787765,0.912758
Hazy Input,8180.jpg,14.348948,0.800098
Author TAO,0586.jpg,28.187626,0.931393
Author TAO,1352.jpg,28.433769,0.935294
Author TAO,1381.jpg,19.761784,0.773161
Author TAO,3146.jpg,18.373714,0.779909
Author TAO,4184.jpg,19.082332,0.824037
Author TAO,4561.jpg,16.563585,0.811783
Author TAO,5576.jpg,20.442609,0.764551
Author TAO,5920.jpg,26.424013,0.920414
Author TAO,7471.jpg,25.324813,0.941011
Author TAO,8180.jpg,20.681942,0.880582
Our Reproduction,0586.jpg,24.737940,0.899478
Our Reproduction,1352.jpg,21.407297,0.870731
Our Reproduction,1381.jpg,12.317053,0.607088
Our Reproduction,3146.jpg,13.225890,0.672351
Our Reproduction,4184.jpg,16.083772,0.774011
Our Reproduction,4561.jpg,17.146797,0.801929
Our Reproduction,5576.jpg,15.726198,0.697040
Our Reproduction,5920.jpg,26.692472,0.916933
Our Reproduction,7471.jpg,21.544431,0.903205
Our Reproduction,8180.jpg,18.237527,0.829904
